TableName	ColumnName	MaxValue	MinValue	AvgValue	CountValue	DistinctCountValue	MaxDecimalPoints	MaxLength	MinLength
cdc.dbo_AFAnalysis29_CT	__$start_lsn	NULL	NULL	NULL	0	0	NULL	NULL	NULL

TableName	ColumnName	SampleValue

TableName	ColumnName	MaxValue	MinValue	AvgValue	CountValue	DistinctCountValue	MaxDecimalPoints	MaxLength	MinLength
cdc.dbo_AFAnalysis29_CT	__$end_lsn	NULL	NULL	NULL	0	0	NULL	NULL	NULL

TableName	ColumnName	SampleValue

TableName	ColumnName	MaxValue	MinValue	AvgValue	CountValue	DistinctCountValue	MaxDecimalPoints	MaxLength	MinLength
cdc.dbo_AFAnalysis29_CT	__$seqval	NULL	NULL	NULL	0	0	NULL	NULL	NULL

TableName	ColumnName	SampleValue

TableName	ColumnName	MaxValue	MinValue	AvgValue	CountValue	DistinctCountValue	MaxDecimalPoints	MaxLength	MinLength
cdc.dbo_AFAnalysis29_CT	__$operation	NULL	NULL	NULL	0	0	NULL	NULL	NULL

TableName	ColumnName	SampleValue

TableName	ColumnName	MaxValue	MinValue	AvgValue	CountValue	DistinctCountValue	MaxDecimalPoints	MaxLength	MinLength
cdc.dbo_AFAnalysis29_CT	__$update_mask	NULL	NULL	NULL	0	0	NULL	NULL	NULL

TableName	ColumnName	SampleValue

TableName	ColumnName	MaxValue	MinValue	AvgValue	CountValue	DistinctCountValue	MaxDecimalPoints	MaxLength	MinLength
cdc.dbo_AFAnalysis29_CT	id	NULL	NULL	NULL	0	0	NULL	NULL	NULL

TableName	ColumnName	SampleValue

TableName	ColumnName	MaxValue	MinValue	AvgValue	CountValue	DistinctCountValue	MaxDecimalPoints	MaxLength	MinLength
cdc.dbo_AFAnalysis29_CT	rid	NULL	NULL	NULL	0	0	NULL	NULL	NULL

TableName	ColumnName	SampleValue

TableName	ColumnName	MaxValue	MinValue	AvgValue	CountValue	DistinctCountValue	MaxDecimalPoints	MaxLength	MinLength
cdc.dbo_AFAnalysis29_CT	fkdatabaseid	NULL	NULL	NULL	0	0	NULL	NULL	NULL

TableName	ColumnName	SampleValue

TableName	ColumnName	MaxValue	MinValue	AvgValue	CountValue	DistinctCountValue	MaxDecimalPoints	MaxLength	MinLength
cdc.dbo_AFAnalysis29_CT	fktemplateid	NULL	NULL	NULL	0	0	NULL	NULL	NULL

TableName	ColumnName	SampleValue

TableName	ColumnName	MaxValue	MinValue	AvgValue	CountValue	DistinctCountValue	MaxDecimalPoints	MaxLength	MinLength
cdc.dbo_AFAnalysis29_CT	name	NULL	NULL	NULL	0	0	NULL	NULL	NULL

TableName	ColumnName	SampleValue

TableName	ColumnName	MaxValue	MinValue	AvgValue	CountValue	DistinctCountValue	MaxDecimalPoints	MaxLength	MinLength
cdc.dbo_AFAnalysis29_CT	description	NULL	NULL	NULL	0	0	NULL	NULL	NULL

TableName	ColumnName	SampleValue

TableName	ColumnName	MaxValue	MinValue	AvgValue	CountValue	DistinctCountValue	MaxDecimalPoints	MaxLength	MinLength
cdc.dbo_AFAnalysis29_CT	status	NULL	NULL	NULL	0	0	NULL	NULL	NULL

TableName	ColumnName	SampleValue

TableName	ColumnName	MaxValue	MinValue	AvgValue	CountValue	DistinctCountValue	MaxDecimalPoints	MaxLength	MinLength
cdc.dbo_AFAnalysis29_CT	publishresults	NULL	NULL	NULL	0	0	NULL	NULL	NULL

TableName	ColumnName	SampleValue

TableName	ColumnName	MaxValue	MinValue	AvgValue	CountValue	DistinctCountValue	MaxDecimalPoints	MaxLength	MinLength
cdc.dbo_AFAnalysis29_CT	maxqueuesize	NULL	NULL	NULL	0	0	NULL	NULL	NULL

TableName	ColumnName	SampleValue

TableName	ColumnName	MaxValue	MinValue	AvgValue	CountValue	DistinctCountValue	MaxDecimalPoints	MaxLength	MinLength
cdc.dbo_AFAnalysis29_CT	priority	NULL	NULL	NULL	0	0	NULL	NULL	NULL

TableName	ColumnName	SampleValue

TableName	ColumnName	MaxValue	MinValue	AvgValue	CountValue	DistinctCountValue	MaxDecimalPoints	MaxLength	MinLength
cdc.dbo_AFAnalysis29_CT	fktargetid	NULL	NULL	NULL	0	0	NULL	NULL	NULL

TableName	ColumnName	SampleValue

TableName	ColumnName	MaxValue	MinValue	AvgValue	CountValue	DistinctCountValue	MaxDecimalPoints	MaxLength	MinLength
cdc.dbo_AFAnalysis29_CT	targettype	NULL	NULL	NULL	0	0	NULL	NULL	NULL

TableName	ColumnName	SampleValue

TableName	ColumnName	MaxValue	MinValue	AvgValue	CountValue	DistinctCountValue	MaxDecimalPoints	MaxLength	MinLength
cdc.dbo_AFAnalysis29_CT	fknotificationid	NULL	NULL	NULL	0	0	NULL	NULL	NULL

TableName	ColumnName	SampleValue

TableName	ColumnName	MaxValue	MinValue	AvgValue	CountValue	DistinctCountValue	MaxDecimalPoints	MaxLength	MinLength
cdc.dbo_AFAnalysis29_CT	fkcasetemplateid	NULL	NULL	NULL	0	0	NULL	NULL	NULL

TableName	ColumnName	SampleValue

TableName	ColumnName	MaxValue	MinValue	AvgValue	CountValue	DistinctCountValue	MaxDecimalPoints	MaxLength	MinLength
cdc.dbo_AFAnalysis29_CT	categoriesstring	NULL	NULL	NULL	0	0	NULL	NULL	NULL

TableName	ColumnName	SampleValue

TableName	ColumnName	MaxValue	MinValue	AvgValue	CountValue	DistinctCountValue	MaxDecimalPoints	MaxLength	MinLength
